metric,value
total_raw_rows,75
preview_rows_removed,2
finished_rows,73
consent_rows,64
cleaned_participant_rows,63
valid_rating_rows,9454
valid_preference_rows,1182
unique_participants_in_cleaned_ratings,60
unique_participants_in_cleaned_preferences,60
skipped_inconsistent_preferences,708
