scenario,topic,explanation_type,mean_rating,sd,n,sem,ci95_low,ci95_high,explanation_type_name
C1,Cold/cough/sore throat,C,4.416666666666667,1.9091693314716442,24,0.38970755788966754,3.6528398532029187,5.180493480130416,Counterfactual explanation
C1,Cold/cough/sore throat,D,3.326923076923077,1.711794767867968,52,0.2373832234084206,2.8616519590425726,3.7921941948035816,LLM natural-language explanation
C1,Cold/cough/sore throat,E,6.0,0.9863939238321437,112,0.09320546490018,5.817317288795647,6.182682711204353,Doctor-written-style explanation
C2,Cold/cough/sore throat,A,6.078947368421052,1.334297896720587,76,0.15305446558905023,5.778960615866514,6.3789341209755905,Rule-based decision path
C2,Cold/cough/sore throat,B,4.67741935483871,1.0750256854624112,93,0.11147497064189844,4.458928412380589,4.895910297296831,Local feature-attribution / key-factor explanation
C2,Cold/cough/sore throat,C,4.482142857142857,1.3071978556309807,56,0.17468166116059697,4.139766801268086,4.824518913017627,Counterfactual explanation
C2,Cold/cough/sore throat,D,3.336206896551724,1.6202198751336534,116,0.15043363881706226,3.0413569644702823,3.631056828633166,LLM natural-language explanation
C2,Cold/cough/sore throat,E,6.089285714285714,0.9959332893739004,56,0.13308718388999727,5.82843483386132,6.350136594710109,Doctor-written-style explanation
C3,Cold/cough/sore throat,A,6.391666666666667,1.1323793150553687,120,0.1033716157513458,6.189058299794029,6.594275033539304,Rule-based decision path
C3,Cold/cough/sore throat,B,4.538461538461538,1.1625114540703012,52,0.16121133292171813,4.222487325934971,4.854435750988106,Local feature-attribution / key-factor explanation
C3,Cold/cough/sore throat,C,3.9038461538461537,1.0929538738100182,104,0.10717294480796363,3.693787182022545,4.1139051256697625,Counterfactual explanation
C3,Cold/cough/sore throat,D,3.3461538461538463,1.557834285841013,52,0.2160327460105999,2.9227296639730707,3.769578028334622,LLM natural-language explanation
C3,Cold/cough/sore throat,E,5.769230769230769,0.9825015015781494,52,0.13624844392924546,5.502183819129448,6.03627771933209,Doctor-written-style explanation
C4,Cold/cough/sore throat,A,5.852941176470588,1.3074380312058276,68,0.158550150047389,5.5421828823777055,6.16369947056347,Rule-based decision path
C4,Cold/cough/sore throat,B,4.303571428571429,1.307216875203177,112,0.12352038433623438,4.061471475272409,4.545671381870449,Local feature-attribution / key-factor explanation
C4,Cold/cough/sore throat,C,4.906976744186046,1.5089250902605202,43,0.2301089190037258,4.455963262938743,5.357990225433349,Counterfactual explanation
C4,Cold/cough/sore throat,D,3.1982758620689653,1.5837205923213626,116,0.14704476548453818,2.9100681217192705,3.48648360241866,LLM natural-language explanation
C4,Cold/cough/sore throat,E,6.2894736842105265,0.6494261974735173,76,0.07449429384407766,6.143464868276134,6.435482500144919,Doctor-written-style explanation
C5,Cold/cough/sore throat,A,5.583333333333333,1.7916877315917057,24,0.3657267267336953,4.86650894893529,6.300157717731376,Rule-based decision path
C5,Cold/cough/sore throat,B,4.484375,1.3092126253640768,64,0.1636515781705096,4.1636179067858015,4.8051320932141985,Local feature-attribution / key-factor explanation
C5,Cold/cough/sore throat,C,4.019230769230769,1.0982164652137123,156,0.08792768752651023,3.846892501678809,4.191569036782729,Counterfactual explanation
