,A,B,C,D,E
A,,90.58823529411765,87.85714285714286,80.0,87.41721854304636
B,9.411764705882353,,66.66666666666666,82.6923076923077,11.38211382113821
C,12.142857142857142,33.33333333333333,,85.84070796460178,9.803921568627452
D,20.0,17.307692307692307,14.15929203539823,,21.649484536082475
E,12.582781456953644,88.6178861788618,90.19607843137256,78.35051546391753,
